BP,DHD,Dtrc7,Atrc7,Drec7,lat,lon
0.0769,57.26,13,1.92,15,24.925,-80.625
0.2265,69.21001,8,2.1,12,24.475,-81.875
0.3425,69.21001,8,2.1,12,24.475,-81.875
0.4224,70.04,9,2.42,12,24.475,-81.925
0.1417,61.66,7,1.19,12,24.575,-81.275
0.2252,62.28,7,1.11,12,24.575,-81.325
0.3333,57.44,0,0,0,24.625,-82.875
0.5952,57.44,0,0,0,24.625,-82.875
0.0857,69.21001,8,2.1,12,24.475,-81.875
0.2273,69.21001,8,2.1,12,24.475,-81.875
0.3261,56.09999,0,0,0,24.675,-82.925
0.4107,69.21001,8,2.1,12,24.475,-81.875
0.4407,56.09999,0,0,0,24.675,-82.925
0.4419,57.03,0,0,0,24.625,-82.925
0.1628,67.86,7,1.73,12,24.475,-81.825
0.25,67.86,7,1.73,12,24.475,-81.825
0.0137,65.48999,14,2.59,12,24.575,-81.575
0.142,62.23,0,0,12,24.525,-81.475
0.0814,63.8,7,1.11,12,24.525,-81.525
0.1863,62.23,0,0,12,24.525,-81.475
0.2378,64.05,7,1.36,12,24.525,-81.575
0.2923,63.8,7,1.11,12,24.525,-81.525
0.0619,63.49,7,1.34,12,24.575,-81.425
0.099,61.75,0,0,12,24.525,-81.425
0,56.05,19,3.92,17,18.425,-69.675
0,88.66,0,0,0,-12.125,96.825
0,88.66,0,0,0,-12.125,96.825
0,88.66,0,0,0,-12.125,96.825
0,88.66,0,0,0,-12.125,96.825
0,87.96,0,0,0,-12.075,96.825
0,87.96,0,0,0,-12.075,96.825
0,87.96,0,0,0,-12.075,96.825
0,87.96,0,0,0,-12.075,96.825
0,88.19,0,0,0,-12.075,96.875
0,88.19,0,0,0,-12.075,96.875
0.43,85.06001,0,0,0,-16.775,179.825
0.63,70.47,0,0,11,-18.175,177.625
0.63,71.92,0,0,11,-18.225,177.675
0.63,71.92,0,0,11,-18.225,177.675
0.63,72.67001,19,3.05,11,-18.225,177.725
0.0375,57.09999,0,0,0,-8.525,116.875
0.0375,57.09999,0,0,0,-8.525,116.875
0.0375,57.09999,0,0,0,-8.525,116.875
0.1,58.43,0,0,0,-8.475,116.875
0.1,58.43,0,0,0,-8.475,116.875
0.1,58.43,0,0,0,-8.475,116.875
0.1,58.43,0,0,0,-8.475,116.875
0.1,58.43,0,0,0,-8.475,116.875
0.1,58.43,0,0,0,-8.475,116.875
0.0376,75.69,0,0,0,19.275,166.625
0.015,76.47,0,0,0,19.275,166.575
0,76.21001,0,0,0,19.325,166.575
0,76.21001,0,0,0,19.325,166.575
0,76.11,0,0,0,19.325,166.625
0.0166,76.46,0,0,0,19.325,166.625
0,76.46,0,0,0,19.325,166.625
0,76.46,0,0,0,19.325,166.625
0,76.46,0,0,0,19.325,166.625
0,76.46,0,0,0,19.325,166.625
0,76.46,0,0,0,19.325,166.625
0,76.46,0,0,0,19.325,166.625
0.018,76.87,0,0,0,19.275,166.675
0.0282,76.87,0,0,0,19.275,166.675
0.0746,76.90001,0,0,0,19.275,166.625
0,76.8,0,0,0,19.325,166.575
0,76.90001,0,0,0,19.275,166.625
0,76.87,0,0,0,19.275,166.675
0,76.87,0,0,0,19.275,166.675
0.0066,77.47,0,0,0,19.325,166.625
0.0058,60.54,0,0,0,13.575,144.825
0,61.03,0,0,0,13.525,144.775
0,60.54,0,0,0,13.575,144.825
0.0286,64.07,0,0,0,13.225,144.725
0,63.11,0,0,0,13.225,144.675
0,64.07,0,0,0,13.225,144.725
0,62.9,0,0,9,13.375,144.625
0,62.9,0,0,9,13.375,144.625
0,62.9,0,0,9,13.375,144.625
0,62.6,0,0,9,13.325,144.625
0.0121,61.73999,0,0,0,13.375,144.775
0.47,61.73999,0,0,0,13.375,144.775
0,62.91,0,0,0,13.275,144.775
0,62.22,0,0,0,13.325,144.775
0,61.73999,0,0,0,13.375,144.775
0.0051,61.26,0,0,0,13.525,144.925
0.0084,61.07999,0,0,0,13.475,144.875
0,61.41,0,0,0,13.475,144.825
0,61.26,0,0,0,13.525,144.925
0.0081,60.21,0,0,0,13.625,144.875
0.01,60.31,0,0,0,13.625,144.925
0.0382,60.31,0,0,0,13.625,144.925
0.0426,60.31,0,0,0,13.625,144.925
0,60.91,0,0,0,13.675,144.875
0,60.91,0,0,0,13.675,144.875
0,60.31,0,0,0,13.625,144.925
0.1,62.6,0,0,9,13.325,144.625
0,62.9,0,0,9,13.375,144.625
0,63.76,0,0,9,13.425,144.625
0,63.76,0,0,9,13.425,144.625
0.016,63.27,0,0,0,13.475,144.675
0.46,62.38,0,0,0,13.475,144.725
0,63.27,0,0,0,13.475,144.675
0,61.13,0,0,0,13.475,144.775
0,61.03,0,0,0,13.525,144.775
0,66.19,0,0,0,14.175,145.175
0,66.19,0,0,0,14.175,145.175
0,67.50999,0,0,0,14.175,145.225
0,67.50999,0,0,0,14.175,145.225
0.0108,65.77,0,0,0,14.125,145.125
0.0735,67.50999,0,0,0,14.175,145.225
0,65.77,0,0,0,14.125,145.125
0,65.77,0,0,0,14.125,145.125
0,65.34,0,0,0,24.675,-80.975
